,mpg
3,16.0
18,27.0
376,37.0
248,36.1
177,23.0
63,14.0
246,32.8
352,29.9
108,20.0
90,12.0
231,15.5
334,23.7
118,24.0
218,36.0
210,19.0
378,38.0
371,29.0
280,21.5
323,27.9
75,14.0
245,36.1
110,22.0
16,18.0
66,17.0
153,18.0
7,14.0
19,26.0
137,13.0
353,33.0
347,37.0
131,32.0
182,28.0
291,19.2
384,32.0
296,27.4
60,20.0
79,26.0
284,20.6
304,37.3
277,16.2
157,15.0
109,21.0
17,21.0
253,20.5
24,21.0
361,25.4
349,34.1
392,27.0
379,36.0
358,31.6
310,38.1
145,32.0
324,40.8
176,19.0
119,20.0
192,22.0
202,17.5
345,35.1
237,30.5
355,33.7
36,19.0
139,14.0
290,15.5
155,15.0
194,22.5
195,29.0
59,23.0
111,18.0
219,25.5
173,24.0
6,14.0
287,16.5
274,20.3
150,26.0
10,15.0
331,33.8
103,11.0
81,28.0
227,19.0
239,30.0
299,27.2
211,16.5
167,29.0
165,20.0
89,15.0
265,17.5
163,18.0
147,24.0
283,20.2
92,13.0
69,12.0
123,20.0
96,13.0
143,26.0
302,34.5
97,18.0
228,18.5
68,13.0
23,26.0
37,18.0
144,31.0
122,24.0
67,11.0
250,19.4
357,32.9
278,31.5
316,19.1
193,24.0
125,20.0
146,28.0
233,29.0
86,14.0
335,35.0
203,29.5
336,23.6
223,15.5
258,20.6
301,34.2
183,25.0
327,36.4
282,22.3
209,19.0
281,19.8
129,31.0
38,14.0
11,14.0
326,43.4
185,26.0
220,33.5
112,19.0
179,22.0
268,27.2
333,32.7
117,29.0
366,17.6
374,23.0
382,34.0
286,17.6
360,30.7
164,21.0
385,38.0
136,16.0
154,15.0
199,20.0
197,29.0
390,32.0
2,18.0
204,32.0
115,15.0
232,16.0
369,34.0
26,10.0
120,19.0
305,28.4
224,15.0
346,32.3
266,30.0
314,26.4
342,30.0
127,19.0
74,13.0
321,32.2
29,27.0
83,28.0
329,44.6
107,18.0
247,39.4
255,25.1
133,16.0
244,43.1
184,25.0
289,16.9
44,13.0
365,20.2
65,14.0
320,37.0
85,13.0
242,21.5
186,27.0
159,14.0
12,15.0
35,17.0
28,9.0
170,23.0
142,26.0
317,34.3
271,23.2
221,17.5
95,12.0
51,30.0
240,30.5
297,25.4
325,44.3
178,23.0
41,14.0
332,29.8
206,26.5
254,20.2
387,38.0
4,17.0
256,20.5
356,32.4
100,18.0
226,20.5
340,25.8
213,13.0
171,24.0
98,16.0
215,13.0
61,21.0
47,19.0
32,25.0
267,27.5
200,18.0
354,34.5
27,11.0
311,32.1
230,15.5
260,18.6
288,18.2
162,15.0
338,27.2
138,14.0
62,13.0
135,18.0
128,15.0
8,14.0
64,15.0
300,23.9
14,24.0
156,16.0
40,14.0
364,26.6
322,46.6
216,31.5
279,29.5
368,27.0
236,25.5
207,20.0
212,16.5
295,35.7
362,24.2
251,20.2
388,26.0
363,22.4
303,31.8
269,30.9
201,18.5
161,16.0
43,13.0
217,30.0
190,14.5
309,41.5
259,20.8
105,13.0
53,31.0
1,15.0
49,23.0
80,22.0
205,28.0
34,16.0
263,17.7
91,13.0
339,26.6
52,30.0
264,18.1
241,22.0
13,14.0
315,24.3
88,14.0
273,23.9
166,13.0
328,30.0
391,36.0
134,16.0
306,28.8
381,36.0
319,31.3
243,21.5
54,35.0
50,28.0
174,18.0
189,15.5
395,32.0
187,17.5
169,20.0
58,25.0
48,18.0
344,39.0
235,26.0
252,19.2
21,24.0
313,28.0
160,17.0
276,21.6
191,22.0
293,31.9
343,39.1
257,19.4
308,33.5
149,24.0
130,26.0
151,31.0
359,28.1
99,18.0
372,27.0
87,13.0
330,40.9
214,13.0
121,15.0
397,31.0
20,25.0
188,16.0
71,19.0
106,12.0
270,21.1
348,37.7
102,26.0
