selling_price,year,km_driven,owner,fuel_CNG,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual
60000,2007,70000,1,False,False,False,False,True,False,True,False,False,True
135000,2007,50000,1,False,False,False,False,True,False,True,False,False,True
600000,2012,100000,1,False,True,False,False,False,False,True,False,False,True
250000,2017,46000,1,False,False,False,False,True,False,True,False,False,True
450000,2014,141000,2,False,True,False,False,False,False,True,False,False,True
140000,2007,125000,1,False,False,False,False,True,False,True,False,False,True
550000,2016,25000,1,False,False,False,False,True,False,True,False,False,True
240000,2014,60000,2,False,False,False,False,True,False,True,False,False,True
850000,2015,25000,1,False,False,False,False,True,False,True,False,False,True
365000,2017,78000,1,True,False,False,False,False,False,True,False,False,True
260000,2015,35000,1,False,False,False,False,True,False,True,False,False,True
250000,2014,100000,1,False,False,False,False,True,False,True,False,False,True
1650000,2018,25000,1,False,False,False,False,True,True,False,False,True,False
60000,2007,70000,1,False,False,False,False,True,False,True,False,False,True
135000,2007,50000,1,False,False,False,False,True,False,True,False,False,True
600000,2012,100000,1,False,True,False,False,False,False,True,False,False,True
250000,2017,46000,1,False,False,False,False,True,False,True,False,False,True
450000,2014,141000,2,False,True,False,False,False,False,True,False,False,True
140000,2007,125000,1,False,False,False,False,True,False,True,False,False,True
550000,2016,25000,1,False,False,False,False,True,False,True,False,False,True
240000,2014,60000,2,False,False,False,False,True,False,True,False,False,True
850000,2015,25000,1,False,False,False,False,True,False,True,False,False,True
365000,2017,78000,1,True,False,False,False,False,False,True,False,False,True
260000,2015,35000,1,False,False,False,False,True,False,True,False,False,True
250000,2014,100000,1,False,False,False,False,True,False,True,False,False,True
1650000,2018,25000,1,False,False,False,False,True,True,False,False,True,False
585000,2015,24000,1,False,False,False,False,True,True,False,False,False,True
1195000,2019,5000,1,False,True,False,False,False,True,False,False,False,True
390000,2013,33000,2,False,True,False,False,False,False,True,False,False,True
1964999,2014,28000,1,False,True,False,False,False,True,False,False,True,False
1425000,2013,59000,1,False,True,False,False,False,True,False,False,True,False
975000,2018,4500,1,False,True,False,False,False,True,False,False,True,False
1190000,2011,175900,1,False,True,False,False,False,True,False,False,True,False
930000,2018,14500,1,False,False,False,False,True,True,False,False,False,True
525000,2018,15000,1,False,False,False,False,True,False,True,False,False,True
1735000,2013,50000,1,False,True,False,False,False,True,False,False,True,False
1375000,2012,33800,2,False,True,False,False,False,True,False,False,True,False
450000,2011,130400,2,False,True,False,False,False,True,False,False,True,False
900000,2016,50000,1,False,False,False,False,True,False,True,False,True,False
1300000,2015,80000,1,False,True,False,False,False,False,True,False,False,True
1400000,2019,10000,1,False,False,False,False,True,False,True,False,False,True
850000,2010,119000,1,False,False,False,False,True,True,False,False,True,False
229999,2014,60000,4,False,False,False,False,True,False,True,False,False,True
1550000,2013,75800,2,False,True,False,False,False,True,False,False,True,False
1250000,2009,78000,3,False,True,False,False,False,True,False,False,True,False
625000,2012,40000,1,False,True,False,False,False,False,True,False,False,True
1050000,2014,50000,1,False,True,False,False,False,False,True,False,False,True
560000,2014,74000,2,False,True,False,False,False,False,True,False,False,True
290000,2014,64000,2,False,False,False,False,True,False,True,False,False,True
275000,2012,60000,2,False,False,False,False,True,False,True,False,False,True
411000,2009,120000,2,False,True,False,False,False,False,True,False,False,True
150000,2009,79000,3,False,False,False,False,True,False,True,False,False,True
500000,2019,15000,1,False,False,False,False,True,False,True,False,False,True
100000,2006,80000,1,False,False,False,False,True,False,True,False,False,True
725000,2017,18500,1,False,True,False,False,False,True,False,False,False,True
401000,2018,10200,1,False,False,False,False,True,True,False,False,False,True
750000,2018,29000,1,False,True,False,False,False,True,False,False,False,True
310000,2018,28000,1,False,False,False,False,True,True,False,False,False,True
665000,2016,46000,1,False,True,False,False,False,True,False,False,False,True
465000,2014,70000,1,False,True,False,False,False,True,False,False,False,True
160000,2012,60000,2,False,False,False,False,True,False,True,False,False,True
250000,1996,35000,2,False,True,False,False,False,False,True,False,False,True
675000,2014,90000,1,False,True,False,False,False,True,False,False,False,True
300000,2013,80000,1,False,False,False,False,True,True,False,False,False,True
70000,2005,80000,1,False,True,False,False,False,False,True,False,False,True
240000,2014,73300,2,False,False,False,False,True,True,False,False,False,True
525000,2014,92000,1,False,True,False,False,False,True,False,False,False,True
151000,2009,66764,2,False,False,False,False,True,True,False,False,False,True
140000,2009,100000,1,False,False,False,False,True,False,True,False,False,True
280000,2010,350000,2,False,True,False,False,False,False,True,False,False,True
350000,2011,230000,1,False,True,False,False,False,False,True,False,False,True
570000,2017,60000,1,False,True,False,False,False,False,True,False,False,True
300000,2018,31000,1,False,False,False,False,True,False,True,False,False,True
100000,2007,39000,1,False,True,False,False,False,False,True,False,False,True
500000,2009,120000,3,False,True,False,False,False,False,True,False,False,True
125000,2014,166000,4,False,True,False,False,False,False,True,False,False,True
130000,2006,110000,3,False,False,False,False,True,False,True,False,False,True
925000,2017,35000,1,False,True,False,False,False,False,True,False,False,True
750000,2018,60000,1,False,True,False,False,False,False,True,False,False,True
200000,2007,54000,2,False,False,False,False,True,False,True,False,True,False
248000,2010,63000,2,False,False,False,False,True,False,True,False,False,True
450000,2014,120000,2,False,True,False,False,False,False,True,False,False,True
80000,2005,120000,3,False,False,False,False,True,False,True,False,False,True
650000,2014,76000,2,False,False,False,False,True,False,True,False,False,True
450000,2015,80000,1,False,True,False,False,False,False,True,False,False,True
650000,2019,25000,1,False,True,False,False,False,False,True,False,False,True
495000,2016,11958,1,False,False,False,False,True,True,False,False,False,True
371000,2015,20000,1,False,False,False,False,True,True,False,False,False,True
1025000,2017,9000,1,False,False,False,False,True,True,False,False,False,True
8150000,2017,6500,1,False,True,False,False,False,True,False,False,True,False
750000,2015,70000,1,False,True,False,False,False,False,True,False,False,True
600000,2013,120000,1,False,True,False,False,False,False,True,False,False,True
80000,2007,58000,2,False,False,False,False,True,True,False,False,False,True
325000,2013,62200,1,False,True,False,False,False,True,False,False,False,True
1470000,2014,34000,2,False,True,False,False,False,True,False,False,True,False
350000,2015,53000,2,False,True,False,False,False,False,True,False,False,True
2800000,2013,49000,1,False,True,False,False,False,True,False,False,True,False
210000,2017,15000,2,False,False,False,False,True,True,False,False,False,True
450000,2013,50000,1,False,False,False,False,True,False,True,False,False,True
1150000,2013,53000,1,False,True,False,False,False,True,False,False,True,False
210000,2009,63500,1,False,False,False,False,True,True,False,False,True,False
4500000,2018,9800,1,False,False,False,False,True,True,False,False,True,False
2750000,2017,13000,1,False,True,False,False,False,False,True,False,True,False
1975000,2018,21000,1,False,True,False,False,False,True,False,False,True,False
175000,2008,29173,1,False,False,False,False,True,True,False,False,False,True
2500000,2012,48000,1,False,True,False,False,False,True,False,False,True,False
628000,2017,120000,1,False,True,False,False,False,False,True,False,False,True
600000,2010,100000,1,False,True,False,False,False,False,True,False,False,True
399000,2017,30000,1,False,False,False,False,True,False,True,False,False,True
750000,2018,87000,1,False,True,False,False,False,False,True,False,False,True
750000,2019,15000,1,False,False,False,False,True,False,True,False,False,True
315000,2017,16000,1,False,False,False,False,True,False,True,False,False,True
600000,2012,60000,1,False,True,False,False,False,False,True,False,False,True
100000,2010,60000,4,False,False,False,False,True,False,True,False,False,True
250000,2011,110000,3,False,False,False,False,True,False,True,False,False,True
350000,2017,25000,1,False,False,False,False,True,False,True,False,False,True
780000,2016,60000,1,False,True,False,False,False,False,True,False,False,True
434000,2014,79350,2,False,True,False,False,False,False,True,False,False,True
690000,2016,80000,1,False,False,False,False,True,False,True,False,True,False
555000,2014,90000,2,False,True,False,False,False,False,True,False,False,True
120000,2007,90000,2,False,False,False,False,True,False,True,False,False,True
500000,2014,120000,2,False,True,False,False,False,False,True,False,False,True
165000,2013,60000,2,False,True,False,False,False,False,True,False,False,True
95000,2004,50000,1,False,False,False,False,True,False,True,False,False,True
550000,2018,20000,1,False,False,False,False,True,False,True,False,False,True
100000,2007,110000,4,False,True,False,False,False,False,True,False,False,True
100000,2012,50000,2,False,False,False,False,True,False,True,False,False,True
500000,2012,100000,1,False,True,False,False,False,False,True,False,False,True
800000,2016,70000,2,False,True,False,False,False,False,True,False,False,True
840000,2016,70000,2,False,True,False,False,False,False,True,False,False,True
490000,2016,50000,1,False,False,False,False,True,False,True,False,False,True
125000,2010,81000,2,False,True,False,False,False,False,True,False,False,True
400000,2012,120000,3,False,True,False,False,False,False,True,False,False,True
1000000,2015,3600,1,False,True,False,False,False,True,False,False,False,True
530000,2015,14272,1,False,False,False,False,True,True,False,False,False,True
840000,2017,49213,1,False,True,False,False,False,True,False,False,False,True
229999,2015,40000,1,False,False,False,False,True,False,True,False,False,True
40000,1998,40000,4,False,False,False,False,True,False,True,False,False,True
130000,2012,80000,1,False,False,False,False,True,False,True,False,False,True
200000,2015,70000,1,False,False,False,False,True,False,True,False,False,True
120000,2011,70000,1,False,True,False,False,False,False,True,False,False,True
75000,2003,57000,1,False,False,False,False,True,False,True,False,False,True
250000,2016,120000,1,False,True,False,False,False,False,True,False,False,True
100000,2005,30000,1,False,False,False,False,True,False,True,False,False,True
280000,2013,3240,2,False,False,False,False,True,False,True,False,False,True
540000,2015,5000,1,False,False,False,False,True,False,True,False,False,True
700000,2018,10000,1,False,False,False,False,True,False,True,False,False,True
525000,2015,100000,1,False,True,False,False,False,False,True,False,False,True
430000,2016,80000,1,False,True,False,False,False,False,True,False,False,True
65000,2002,70000,1,False,False,False,False,True,False,True,False,False,True
800000,2018,35000,1,False,True,False,False,False,False,True,False,False,True
75000,2007,114000,2,False,False,False,False,True,False,True,False,False,True
210000,2008,53772,1,False,False,False,False,True,False,True,False,False,True
195000,2012,140000,2,False,True,False,False,False,False,True,False,False,True
400000,2015,120000,1,False,True,False,False,False,False,True,False,False,True
170000,2012,60000,1,False,False,False,False,True,False,True,False,False,True
225000,2016,25000,1,False,False,False,False,True,False,True,False,False,True
210000,2014,90000,1,False,False,False,True,False,False,True,False,False,True
240000,2020,120000,1,False,False,False,False,True,False,True,False,False,True
300000,2015,175000,1,False,True,False,False,False,False,True,False,False,True
99000,2011,100000,3,False,False,False,False,True,False,True,False,False,True
620000,2014,36000,1,False,False,False,False,True,False,True,False,False,True
500000,2013,30000,1,False,True,False,False,False,False,True,False,False,True
