year,km_driven,owner,fuel_CNG,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual
2007,70000,1,False,False,False,False,True,False,True,False,False,True
2007,50000,1,False,False,False,False,True,False,True,False,False,True
2012,100000,1,False,True,False,False,False,False,True,False,False,True
2014,141000,2,False,True,False,False,False,False,True,False,False,True
2007,125000,1,False,False,False,False,True,False,True,False,False,True
2016,25000,1,False,False,False,False,True,False,True,False,False,True
2014,60000,2,False,False,False,False,True,False,True,False,False,True
2015,25000,1,False,False,False,False,True,False,True,False,False,True
2015,35000,1,False,False,False,False,True,False,True,False,False,True
2014,100000,1,False,False,False,False,True,False,True,False,False,True
2007,70000,1,False,False,False,False,True,False,True,False,False,True
2007,50000,1,False,False,False,False,True,False,True,False,False,True
2012,100000,1,False,True,False,False,False,False,True,False,False,True
2014,141000,2,False,True,False,False,False,False,True,False,False,True
2007,125000,1,False,False,False,False,True,False,True,False,False,True
2016,25000,1,False,False,False,False,True,False,True,False,False,True
2014,60000,2,False,False,False,False,True,False,True,False,False,True
2015,25000,1,False,False,False,False,True,False,True,False,False,True
2015,35000,1,False,False,False,False,True,False,True,False,False,True
2014,100000,1,False,False,False,False,True,False,True,False,False,True
2015,24000,1,False,False,False,False,True,True,False,False,False,True
2013,33000,2,False,True,False,False,False,False,True,False,False,True
2014,28000,1,False,True,False,False,False,True,False,False,True,False
2013,59000,1,False,True,False,False,False,True,False,False,True,False
2011,175900,1,False,True,False,False,False,True,False,False,True,False
2013,50000,1,False,True,False,False,False,True,False,False,True,False
2012,33800,2,False,True,False,False,False,True,False,False,True,False
2011,130400,2,False,True,False,False,False,True,False,False,True,False
2016,50000,1,False,False,False,False,True,False,True,False,True,False
2015,80000,1,False,True,False,False,False,False,True,False,False,True
2010,119000,1,False,False,False,False,True,True,False,False,True,False
2014,60000,4,False,False,False,False,True,False,True,False,False,True
2013,75800,2,False,True,False,False,False,True,False,False,True,False
2009,78000,3,False,True,False,False,False,True,False,False,True,False
2012,40000,1,False,True,False,False,False,False,True,False,False,True
2014,50000,1,False,True,False,False,False,False,True,False,False,True
2014,74000,2,False,True,False,False,False,False,True,False,False,True
2014,64000,2,False,False,False,False,True,False,True,False,False,True
2012,60000,2,False,False,False,False,True,False,True,False,False,True
2009,120000,2,False,True,False,False,False,False,True,False,False,True
2009,79000,3,False,False,False,False,True,False,True,False,False,True
2006,80000,1,False,False,False,False,True,False,True,False,False,True
2016,46000,1,False,True,False,False,False,True,False,False,False,True
2014,70000,1,False,True,False,False,False,True,False,False,False,True
2012,60000,2,False,False,False,False,True,False,True,False,False,True
1996,35000,2,False,True,False,False,False,False,True,False,False,True
2014,90000,1,False,True,False,False,False,True,False,False,False,True
2013,80000,1,False,False,False,False,True,True,False,False,False,True
2005,80000,1,False,True,False,False,False,False,True,False,False,True
2014,73300,2,False,False,False,False,True,True,False,False,False,True
2014,92000,1,False,True,False,False,False,True,False,False,False,True
2009,66764,2,False,False,False,False,True,True,False,False,False,True
2009,100000,1,False,False,False,False,True,False,True,False,False,True
2010,350000,2,False,True,False,False,False,False,True,False,False,True
2011,230000,1,False,True,False,False,False,False,True,False,False,True
2007,39000,1,False,True,False,False,False,False,True,False,False,True
2009,120000,3,False,True,False,False,False,False,True,False,False,True
2014,166000,4,False,True,False,False,False,False,True,False,False,True
2006,110000,3,False,False,False,False,True,False,True,False,False,True
2007,54000,2,False,False,False,False,True,False,True,False,True,False
2010,63000,2,False,False,False,False,True,False,True,False,False,True
2014,120000,2,False,True,False,False,False,False,True,False,False,True
2005,120000,3,False,False,False,False,True,False,True,False,False,True
2014,76000,2,False,False,False,False,True,False,True,False,False,True
2015,80000,1,False,True,False,False,False,False,True,False,False,True
2016,11958,1,False,False,False,False,True,True,False,False,False,True
2015,20000,1,False,False,False,False,True,True,False,False,False,True
2015,70000,1,False,True,False,False,False,False,True,False,False,True
2013,120000,1,False,True,False,False,False,False,True,False,False,True
2007,58000,2,False,False,False,False,True,True,False,False,False,True
2013,62200,1,False,True,False,False,False,True,False,False,False,True
2014,34000,2,False,True,False,False,False,True,False,False,True,False
2015,53000,2,False,True,False,False,False,False,True,False,False,True
2013,49000,1,False,True,False,False,False,True,False,False,True,False
2013,50000,1,False,False,False,False,True,False,True,False,False,True
2013,53000,1,False,True,False,False,False,True,False,False,True,False
2009,63500,1,False,False,False,False,True,True,False,False,True,False
2008,29173,1,False,False,False,False,True,True,False,False,False,True
2012,48000,1,False,True,False,False,False,True,False,False,True,False
2010,100000,1,False,True,False,False,False,False,True,False,False,True
2012,60000,1,False,True,False,False,False,False,True,False,False,True
2010,60000,4,False,False,False,False,True,False,True,False,False,True
2011,110000,3,False,False,False,False,True,False,True,False,False,True
2016,60000,1,False,True,False,False,False,False,True,False,False,True
2014,79350,2,False,True,False,False,False,False,True,False,False,True
2016,80000,1,False,False,False,False,True,False,True,False,True,False
2014,90000,2,False,True,False,False,False,False,True,False,False,True
2007,90000,2,False,False,False,False,True,False,True,False,False,True
2014,120000,2,False,True,False,False,False,False,True,False,False,True
2013,60000,2,False,True,False,False,False,False,True,False,False,True
2004,50000,1,False,False,False,False,True,False,True,False,False,True
2007,110000,4,False,True,False,False,False,False,True,False,False,True
2012,50000,2,False,False,False,False,True,False,True,False,False,True
2012,100000,1,False,True,False,False,False,False,True,False,False,True
2016,70000,2,False,True,False,False,False,False,True,False,False,True
2016,70000,2,False,True,False,False,False,False,True,False,False,True
2016,50000,1,False,False,False,False,True,False,True,False,False,True
2010,81000,2,False,True,False,False,False,False,True,False,False,True
2012,120000,3,False,True,False,False,False,False,True,False,False,True
2015,3600,1,False,True,False,False,False,True,False,False,False,True
2015,14272,1,False,False,False,False,True,True,False,False,False,True
