date,min_temperature_c,max_temperature_c,rainfall_mm,evaporation_mm,sunshine_hours,max_wind_speed_kmh,max_pressure_hpa,rain_today
2019-05-01,17.9,22.5,0.0,5.4,1.9,35.0,1022.6,0
2019-05-02,19.5,24.1,0.0,3.4,1.7,33.0,1025.8,0
2019-05-03,19.2,24.1,0.0,3.4,0.7,31.0,1019.1,0
2019-05-04,17.3,23.1,10.8,2.4,5.8,39.0,1015.9,1
2019-05-05,12.0,19.1,0.0,4.8,5.5,76.0,1017.6,0
2019-05-06,12.5,21.4,3.8,3.6,9.5,41.0,1018.9,1
2019-05-07,9.8,23.4,0.0,4.0,10.2,28.0,1016.0,0
2019-05-08,13.0,21.3,0.0,4.0,9.6,52.0,1012.6,0
2019-05-09,9.5,20.9,0.0,5.0,9.6,35.0,1019.5,0
2019-05-10,13.1,20.4,0.0,5.6,4.1,46.0,1014.2,0
2019-05-11,10.7,21.4,0.0,3.4,8.0,59.0,1018.1,0
2019-05-12,10.4,23.0,0.0,5.8,10.0,37.0,1027.5,0
2019-05-13,10.4,23.0,0.0,1.8,7.5,31.0,1030.5,0
2019-05-14,13.1,24.1,0.0,4.0,9.7,33.0,1027.6,0
2019-05-15,11.8,22.9,0.0,4.0,7.2,26.0,1030.9,0
2019-05-16,12.6,22.4,0.0,2.4,9.6,28.0,1029.7,0
2019-05-17,12.2,23.4,0.0,3.4,9.7,24.0,1028.6,0
2019-05-18,12.7,24.1,0.0,2.4,9.6,26.0,1030.9,0
2019-05-19,14.0,22.7,0.0,3.0,8.1,24.0,1031.7,0
2019-05-20,13.8,22.6,0.0,3.0,4.5,20.0,1028.1,0
2019-05-21,13.0,27.2,0.0,2.0,7.9,31.0,1025.8,0
2019-05-22,14.6,25.3,0.0,4.0,9.3,24.0,1028.1,0
2019-05-23,14.6,24.7,0.0,3.6,6.6,24.0,1028.6,0
2019-05-24,13.7,25.0,0.0,1.2,7.0,26.0,1024.1,0
2019-05-25,12.5,27.1,0.0,4.0,9.2,26.0,1020.1,0
2019-05-26,15.0,23.7,0.0,5.2,6.3,35.0,1016.0,0
2019-05-27,11.3,19.3,0.0,4.8,7.4,72.0,1008.9,0
2019-05-28,8.8,19.3,0.0,5.8,9.6,56.0,1013.9,0
2019-05-29,11.7,19.4,0.0,7.2,9.5,65.0,1005.7,0
2019-05-30,8.7,17.4,0.0,5.6,9.6,54.0,1017.0,0
2019-05-31,7.8,21.0,0.0,5.6,9.5,43.0,1022.6,0
2019-06-01,10.0,20.4,0.0,3.4,5.9,44.0,1028.1,0
2019-06-02,10.7,20.8,0.0,1.6,4.6,30.0,1027.1,0
2019-06-03,12.5,17.6,0.0,1.2,3.4,48.0,1015.2,0
2019-06-04,7.5,14.1,18.2,3.6,1.1,74.0,1015.2,1
2019-06-05,9.3,15.2,11.6,1.0,2.3,52.0,1026.2,1
2019-06-06,7.5,19.6,12.8,1.1,9.5,33.0,1030.0,1
2019-06-07,9.5,14.9,0.2,3.6,0.0,30.0,1035.8,1
2019-06-08,11.2,14.8,4.2,0.0,0.0,24.0,1032.2,1
2019-06-13,12.6,22.7,0.0,1.8,1.8,33.0,1015.8,0
2019-06-14,10.2,19.1,0.0,2.6,6.3,37.0,1020.6,0
2019-06-15,9.0,20.4,0.0,3.0,8.9,31.0,1021.3,0
2019-06-16,11.6,15.3,22.4,3.6,0.0,26.0,1021.4,1
2019-06-17,11.2,15.6,4.0,0.8,0.0,41.0,1020.2,1
2019-06-18,11.1,18.7,33.6,1.2,1.6,31.0,1020.2,1
2019-06-19,9.1,17.3,0.2,2.4,9.1,39.0,1021.7,1
2019-06-20,6.1,16.5,0.0,2.6,6.9,30.0,1025.0,0
2019-06-21,7.5,15.9,0.0,1.8,8.9,44.0,1023.2,0
2019-06-22,6.8,15.9,0.0,3.6,4.7,48.0,1026.2,0
2019-06-23,7.1,16.8,2.0,3.6,4.5,48.0,1027.2,1
2019-06-24,9.4,18.0,34.2,2.4,2.1,46.0,1030.9,1
2019-06-25,11.1,16.9,11.2,3.2,4.4,30.0,1033.9,1
2019-06-26,11.9,18.7,14.0,1.0,3.9,33.0,1036.0,1
2019-06-27,10.6,20.1,2.6,2.8,8.3,24.0,1035.8,1
2019-06-28,11.6,20.5,0.2,0.4,8.7,33.0,1033.7,1
2019-06-29,9.6,20.8,0.0,4.0,7.4,46.0,1027.4,0
2019-06-30,10.4,18.0,0.0,4.0,9.3,46.0,1022.2,0
2019-07-01,7.4,18.3,0.0,3.6,8.2,35.0,1026.1,0
2019-07-02,7.2,20.4,0.0,3.2,6.2,28.0,1020.5,0
2019-07-03,8.0,19.4,0.0,2.8,5.0,33.0,1029.0,0
2019-07-04,9.5,18.0,1.4,2.2,0.2,41.0,1034.9,1
2019-07-05,13.2,19.0,22.8,3.6,2.5,33.0,1036.2,1
2019-07-06,11.0,18.6,2.6,0.4,6.0,30.0,1036.4,1
2019-07-07,11.5,19.3,1.0,0.8,5.7,26.0,1033.8,1
2019-07-08,11.6,20.8,0.0,2.6,3.4,31.0,1025.4,0
2019-07-09,9.8,18.5,0.2,2.6,9.4,37.0,1021.3,1
2019-07-10,8.1,17.6,0.0,2.8,9.5,50.0,1019.0,0
2019-07-11,10.3,19.9,0.0,4.6,9.5,56.0,1010.2,0
2019-07-12,11.8,20.1,0.0,5.2,9.5,59.0,1014.6,0
2019-07-13,12.0,15.6,0.0,7.4,8.5,72.0,1013.3,0
2019-07-14,7.2,17.4,0.0,5.0,9.5,48.0,1022.1,0
2019-07-15,9.2,18.8,0.0,4.6,9.5,52.0,1016.4,0
2019-07-16,9.0,21.5,0.0,4.0,9.6,46.0,1018.8,0
2019-07-17,9.6,19.8,0.0,4.4,9.6,61.0,1018.9,0
2019-07-18,10.2,20.8,0.0,4.0,9.7,41.0,1015.8,0
2019-07-20,7.0,21.1,0.0,2.8,9.8,28.0,1024.4,0
2019-07-21,8.4,23.9,0.0,4.0,9.8,30.0,1017.3,0
2019-07-22,11.7,23.4,0.0,4.0,4.7,26.0,1018.1,0
2019-07-23,10.1,23.6,0.0,5.2,9.9,35.0,1017.0,0
2019-07-24,11.4,20.6,0.0,5.6,9.8,39.0,1019.4,0
2019-07-25,8.0,20.3,0.0,3.0,9.6,31.0,1027.1,0
2019-07-26,8.4,18.6,0.0,3.6,3.2,26.0,1022.2,0
2019-07-27,9.9,20.2,0.0,2.2,7.7,30.0,1023.0,0
2019-07-28,9.0,20.1,0.0,2.8,9.9,28.0,1025.8,0
2019-07-29,7.9,21.3,0.0,2.0,7.1,28.0,1022.0,0
2019-07-30,9.8,15.4,4.2,1.6,0.8,48.0,1024.1,1
2019-07-31,8.8,17.6,11.2,2.8,5.9,41.0,1030.6,1
2019-08-01,9.7,20.5,2.8,3.4,8.5,28.0,1030.4,1
2019-08-02,9.7,18.9,0.2,2.4,6.5,28.0,1031.7,1
2019-08-03,8.1,22.5,0.0,2.4,10.1,30.0,1028.4,0
2019-08-04,7.9,19.3,0.0,2.8,8.4,35.0,1029.3,0
2019-08-05,9.5,19.7,0.0,2.4,9.7,28.0,1026.1,0
2019-08-06,7.4,19.3,0.0,3.8,10.2,26.0,1021.4,0
2019-08-07,7.1,23.4,0.0,3.8,10.2,30.0,1014.9,0
2019-08-08,9.9,20.2,0.0,3.4,7.7,74.0,1003.6,0
2019-08-09,12.5,17.2,0.0,8.0,10.2,87.0,1000.6,0
2019-08-10,9.5,15.5,0.0,9.6,10.2,69.0,1001.7,0
2019-08-11,8.8,16.1,0.0,5.6,6.6,56.0,1003.7,0
2019-08-12,9.3,19.0,0.2,2.8,7.2,44.0,1019.0,1
2019-08-13,7.5,18.6,0.0,3.4,10.2,31.0,1026.1,0
2019-08-14,7.6,19.3,0.0,3.0,10.2,30.0,1029.6,0
2019-08-15,6.4,21.1,0.0,4.8,10.4,28.0,1026.6,0
2019-08-16,7.0,24.6,0.0,2.4,10.2,26.0,1019.6,0
