,rain_tomorrow
83,0
53,1
350,1
4,1
136,0
149,0
233,0
6,0
161,0
154,1
277,0
158,1
268,0
328,0
333,1
228,0
263,0
123,0
21,0
125,0
87,0
422,1
388,1
336,1
216,0
412,0
325,1
44,0
321,0
35,1
94,0
1,0
284,0
209,1
276,0
96,0
320,1
298,1
202,0
84,0
186,0
92,1
182,0
145,1
68,1
22,0
10,0
86,0
262,1
140,1
338,1
315,1
311,0
111,0
116,0
330,0
282,1
101,0
169,0
153,0
30,0
236,0
31,0
240,1
329,0
127,0
139,1
37,1
218,0
383,0
75,0
47,1
300,0
134,0
200,0
396,1
130,1
185,0
167,0
258,1
162,1
375,1
212,1
291,0
364,0
5,0
401,1
234,0
394,0
135,0
143,1
316,1
34,1
193,0
267,1
408,1
337,1
195,0
369,0
242,0
319,1
11,0
243,0
17,0
326,1
181,0
174,0
215,0
371,1
404,0
191,0
137,0
203,0
285,1
196,0
232,0
235,0
287,1
380,0
107,0
187,0
71,0
178,0
386,0
415,0
28,0
217,0
100,0
206,0
312,1
347,1
409,1
368,1
352,0
56,1
179,0
348,0
400,0
159,1
144,0
27,0
97,0
294,0
376,0
222,0
26,0
160,0
324,1
171,0
151,0
343,1
271,0
105,0
172,0
201,0
305,0
286,1
104,0
366,0
65,1
25,0
109,0
78,0
417,0
231,0
225,0
254,1
269,1
93,0
156,0
64,1
204,0
309,0
24,0
85,0
175,0
278,0
192,0
152,0
164,1
205,0
67,0
253,0
19,0
57,1
382,0
211,1
226,0
351,1
74,0
244,0
77,0
239,0
353,0
273,1
131,0
237,0
12,0
129,1
360,0
124,0
166,1
370,1
372,0
416,0
29,0
384,1
219,0
335,1
317,1
357,0
247,0
238,0
431,0
128,0
229,0
221,0
414,1
59,0
54,1
148,0
390,1
13,0
313,1
118,1
413,1
399,1
16,0
114,0
49,0
419,0
58,0
249,0
270,1
55,1
310,0
306,1
283,1
23,0
70,0
102,1
245,0
183,0
7,0
43,0
367,1
18,0
373,0
331,1
69,0
223,0
295,1
334,1
113,0
198,0
62,0
51,0
230,0
356,0
323,1
133,0
257,1
297,1
90,1
121,1
279,0
63,1
194,0
81,0
251,0
115,0
88,0
266,1
147,0
391,1
385,1
66,1
275,0
426,0
425,0
265,1
398,0
38,0
20,0
327,0
374,1
389,0
342,1
106,0
264,1
365,0
280,0
220,0
292,1
424,0
199,0
80,0
95,0
45,1
32,0
304,0
176,0
197,0
301,0
403,0
332,1
406,0
259,0
210,1
73,0
155,0
36,1
177,0
52,1
48,1
349,1
108,0
272,0
2,1
410,1
117,0
14,0
402,1
165,1
