,passenger_id,survived,male,female,age,number_sibling_spouse,number_parent_children,fare,embarked_southampton,embarked_cherbourg,embarked_queenstown,ticket_class
0,1,0,1,0,22.0,1,0,7.25,1,0,0,3.0
1,2,1,0,1,35.0,1,0,71.2833,0,1,0,1.0
2,3,1,0,1,26.0,0,0,7.925,1,0,0,3.0
3,4,1,0,1,35.0,1,0,53.1,1,0,0,1.0
4,5,0,1,0,35.0,0,0,8.05,1,0,0,3.0
5,6,0,1,0,22.0,0,0,8.4583,0,0,1,3.0
6,7,0,1,0,54.0,0,0,51.8625,1,0,0,1.0
7,8,0,1,0,2.0,3,1,21.075,1,0,0,3.0
8,9,1,0,1,26.0,0,2,11.1333,1,0,0,3.0
9,10,1,0,1,14.0,1,0,30.0708,0,1,0,2.0
10,11,1,0,1,4.0,1,1,16.7,1,0,0,3.0
11,12,1,0,1,61.0,0,0,26.55,1,0,0,1.0
12,13,0,1,0,19.0,0,0,8.05,1,0,0,3.0
13,14,0,1,0,39.0,1,5,31.275,1,0,0,3.0
14,15,0,0,1,14.0,0,0,7.8542,1,0,0,3.0
15,16,1,0,1,56.0,0,0,16.0,1,0,0,2.0
16,17,0,1,0,2.0,4,1,29.125,0,0,1,3.0
17,18,1,1,0,23.0,0,0,13.0,1,0,0,2.0
18,19,0,0,1,31.0,1,0,18.0,1,0,0,3.0
19,20,1,0,1,22.0,0,0,7.225,0,1,0,3.0
20,21,0,1,0,35.0,0,0,26.0,1,0,0,2.0
21,22,1,1,0,34.0,0,0,13.0,1,0,0,2.0
22,23,1,0,1,16.0,0,0,8.0292,0,0,1,3.0
23,24,1,1,0,28.0,0,0,35.5,1,0,0,1.0
24,25,0,0,1,8.0,3,1,21.075,1,0,0,3.0
25,26,1,0,1,38.0,1,5,31.3875,1,0,0,3.0
26,27,0,1,0,25.0,0,0,7.225,0,1,0,3.0
27,28,0,1,0,19.0,3,2,263.0,1,0,0,1.0
28,29,1,0,1,25.0,0,0,7.8792,0,0,1,3.0
29,30,0,1,0,23.0,0,0,7.8958,1,0,0,3.0
