buying_price,maintenance_cost,doors,persons_capacity,luggage_boot,safety,evaluation
3.0,3.0,0.0,0.0,0.0,0.0,unacc
3.0,3.0,0.0,0.0,0.0,1.0,unacc
3.0,3.0,0.0,0.0,0.0,2.0,unacc
3.0,3.0,0.0,0.0,1.0,0.0,unacc
3.0,3.0,0.0,0.0,1.0,1.0,unacc
3.0,3.0,0.0,0.0,1.0,2.0,unacc
3.0,3.0,0.0,0.0,2.0,0.0,unacc
3.0,3.0,0.0,0.0,2.0,1.0,unacc
3.0,3.0,0.0,0.0,2.0,2.0,unacc
3.0,3.0,0.0,1.0,0.0,0.0,unacc
3.0,3.0,0.0,1.0,0.0,1.0,unacc
3.0,3.0,0.0,1.0,0.0,2.0,unacc
3.0,3.0,0.0,1.0,1.0,0.0,unacc
3.0,3.0,0.0,1.0,1.0,1.0,unacc
3.0,3.0,0.0,1.0,1.0,2.0,unacc
3.0,3.0,0.0,1.0,2.0,0.0,unacc
3.0,3.0,0.0,1.0,2.0,1.0,unacc
3.0,3.0,0.0,1.0,2.0,2.0,unacc
3.0,3.0,0.0,2.0,0.0,0.0,unacc
3.0,3.0,0.0,2.0,0.0,1.0,unacc
3.0,3.0,0.0,2.0,0.0,2.0,unacc
3.0,3.0,0.0,2.0,1.0,0.0,unacc
3.0,3.0,0.0,2.0,1.0,1.0,unacc
3.0,3.0,0.0,2.0,1.0,2.0,unacc
3.0,3.0,0.0,2.0,2.0,0.0,unacc
3.0,3.0,0.0,2.0,2.0,1.0,unacc
3.0,3.0,0.0,2.0,2.0,2.0,unacc
3.0,3.0,1.0,0.0,0.0,0.0,unacc
3.0,3.0,1.0,0.0,0.0,1.0,unacc
3.0,3.0,1.0,0.0,0.0,2.0,unacc
3.0,3.0,1.0,0.0,1.0,0.0,unacc
3.0,3.0,1.0,0.0,1.0,1.0,unacc
3.0,3.0,1.0,0.0,1.0,2.0,unacc
3.0,3.0,1.0,0.0,2.0,0.0,unacc
3.0,3.0,1.0,0.0,2.0,1.0,unacc
3.0,3.0,1.0,0.0,2.0,2.0,unacc
3.0,3.0,1.0,1.0,0.0,0.0,unacc
3.0,3.0,1.0,1.0,0.0,1.0,unacc
3.0,3.0,1.0,1.0,0.0,2.0,unacc
3.0,3.0,1.0,1.0,1.0,0.0,unacc
3.0,3.0,1.0,1.0,1.0,1.0,unacc
3.0,3.0,1.0,1.0,1.0,2.0,unacc
