,buying_price,maintenance_cost,doors,persons_capacity,luggage_boot,safety
298,3.0,1.0,3.0,0.0,0.0,1.0
88,3.0,3.0,3.0,0.0,2.0,1.0
20,3.0,3.0,0.0,2.0,0.0,2.0
502,2.0,3.0,2.0,1.0,2.0,1.0
998,1.0,2.0,0.0,2.0,2.0,2.0
848,2.0,0.0,3.0,1.0,0.0,2.0
1697,0.0,0.0,2.0,2.0,1.0,2.0
176,3.0,2.0,2.0,1.0,1.0,2.0
1410,0.0,2.0,0.0,0.0,2.0,0.0
887,1.0,3.0,0.0,2.0,1.0,2.0
235,3.0,1.0,0.0,2.0,0.0,1.0
792,2.0,0.0,1.0,1.0,0.0,0.0
1554,0.0,1.0,1.0,1.0,2.0,0.0
730,2.0,1.0,3.0,0.0,0.0,1.0
1470,0.0,2.0,2.0,1.0,1.0,0.0
1111,1.0,1.0,1.0,0.0,1.0,1.0
826,2.0,0.0,2.0,1.0,2.0,1.0
66,3.0,3.0,2.0,1.0,1.0,0.0
817,2.0,0.0,2.0,0.0,2.0,1.0
215,3.0,2.0,3.0,2.0,2.0,2.0
1517,0.0,1.0,0.0,0.0,1.0,2.0
246,3.0,1.0,1.0,0.0,1.0,0.0
1246,1.0,0.0,2.0,0.0,1.0,1.0
1042,1.0,2.0,2.0,1.0,2.0,1.0
605,2.0,2.0,2.0,1.0,0.0,2.0
1050,1.0,2.0,2.0,2.0,2.0,0.0
1157,1.0,1.0,2.0,2.0,1.0,2.0
202,3.0,2.0,3.0,1.0,1.0,1.0
281,3.0,1.0,2.0,1.0,0.0,2.0
452,2.0,3.0,0.0,2.0,0.0,2.0
41,3.0,3.0,1.0,1.0,1.0,2.0
940,1.0,3.0,2.0,2.0,1.0,1.0
1320,0.0,3.0,0.0,2.0,2.0,0.0
749,2.0,1.0,3.0,2.0,0.0,2.0
1692,0.0,0.0,2.0,2.0,0.0,0.0
1115,1.0,1.0,1.0,0.0,2.0,2.0
1188,1.0,0.0,0.0,0.0,0.0,0.0
1332,0.0,3.0,1.0,1.0,0.0,0.0
182,3.0,2.0,2.0,2.0,0.0,2.0
1648,0.0,0.0,1.0,0.0,0.0,1.0
1516,0.0,1.0,0.0,0.0,1.0,1.0
250,3.0,1.0,1.0,0.0,2.0,1.0
459,2.0,3.0,1.0,0.0,0.0,0.0
466,2.0,3.0,1.0,0.0,2.0,1.0
1594,0.0,1.0,3.0,0.0,0.0,1.0
1069,1.0,2.0,3.0,1.0,2.0,1.0
870,1.0,3.0,0.0,0.0,2.0,0.0
1478,0.0,2.0,2.0,2.0,0.0,2.0
1336,0.0,3.0,1.0,1.0,1.0,1.0
1525,0.0,1.0,0.0,1.0,1.0,1.0
729,2.0,1.0,3.0,0.0,0.0,0.0
341,3.0,0.0,0.0,1.0,2.0,2.0
783,2.0,0.0,1.0,0.0,0.0,0.0
393,3.0,0.0,2.0,1.0,2.0,0.0
981,1.0,2.0,0.0,1.0,0.0,0.0
1298,0.0,3.0,0.0,0.0,0.0,2.0
33,3.0,3.0,1.0,0.0,2.0,0.0
722,2.0,1.0,2.0,2.0,0.0,2.0
1380,0.0,3.0,3.0,0.0,1.0,0.0
1396,0.0,3.0,3.0,2.0,0.0,1.0
852,2.0,0.0,3.0,1.0,2.0,0.0
1129,1.0,1.0,1.0,2.0,1.0,1.0
221,3.0,1.0,0.0,0.0,1.0,2.0
966,1.0,3.0,3.0,2.0,1.0,0.0
1637,0.0,0.0,0.0,1.0,2.0,2.0
1676,0.0,0.0,2.0,0.0,0.0,2.0
1712,0.0,0.0,3.0,1.0,0.0,2.0
524,2.0,3.0,3.0,1.0,0.0,2.0
856,2.0,0.0,3.0,2.0,0.0,1.0
177,3.0,2.0,2.0,1.0,2.0,0.0
1197,1.0,0.0,0.0,1.0,0.0,0.0
760,2.0,0.0,0.0,0.0,1.0,1.0
