,evaluation
298,unacc
88,unacc
20,unacc
502,unacc
998,acc
848,acc
1697,vgood
176,unacc
1410,unacc
887,acc
235,unacc
792,unacc
1554,unacc
730,unacc
1470,unacc
1111,unacc
826,acc
66,unacc
817,unacc
215,unacc
1517,unacc
246,unacc
1246,unacc
1042,acc
605,acc
1050,unacc
1157,vgood
202,unacc
281,acc
452,unacc
41,unacc
940,acc
1320,unacc
749,acc
1692,unacc
1115,unacc
1188,unacc
1332,unacc
182,unacc
1648,unacc
1516,unacc
250,unacc
459,unacc
466,unacc
1594,unacc
1069,acc
870,unacc
1478,acc
1336,unacc
1525,acc
729,unacc
341,acc
783,unacc
393,unacc
981,unacc
1298,unacc
33,unacc
722,acc
1380,unacc
1396,unacc
852,unacc
1129,acc
221,unacc
966,unacc
1637,vgood
1676,unacc
1712,good
524,unacc
856,unacc
177,unacc
1197,unacc
760,unacc
1483,acc
734,unacc
133,unacc
1253,good
83,unacc
211,unacc
1217,unacc
1006,unacc
253,unacc
1000,unacc
1341,unacc
531,unacc
736,unacc
226,unacc
773,acc
1051,acc
10,unacc
252,unacc
1623,unacc
234,unacc
1024,acc
818,unacc
564,unacc
1518,unacc
185,unacc
1539,unacc
1382,unacc
1018,unacc
697,acc
276,unacc
543,unacc
1081,unacc
656,unacc
597,unacc
1593,unacc
306,unacc
28,unacc
1309,unacc
1239,unacc
449,unacc
232,acc
79,unacc
1553,good
520,unacc
631,unacc
727,acc
873,unacc
406,unacc
550,unacc
1636,good
578,acc
1500,unacc
330,unacc
660,unacc
1023,unacc
1109,unacc
574,unacc
544,unacc
1576,acc
646,acc
682,unacc
782,acc
1294,good
1714,good
260,acc
561,unacc
1201,acc
726,unacc
712,unacc
130,unacc
601,unacc
751,acc
1248,unacc
1116,unacc
609,unacc
1250,unacc
1542,unacc
1684,acc
114,unacc
72,unacc
756,unacc
29,unacc
698,acc
1267,good
1715,vgood
1707,unacc
164,unacc
1146,unacc
1104,unacc
670,unacc
1653,unacc
1204,good
1243,unacc
590,acc
775,unacc
922,unacc
562,unacc
1704,unacc
881,acc
1105,acc
52,unacc
204,unacc
755,acc
980,unacc
781,acc
1534,acc
311,acc
207,unacc
575,unacc
905,acc
199,unacc
830,acc
1004,unacc
30,unacc
785,unacc
1295,vgood
864,unacc
1702,unacc
1531,unacc
223,unacc
535,unacc
1402,acc
362,acc
1708,unacc
1015,acc
580,unacc
1716,unacc
96,unacc
896,unacc
54,unacc
1698,unacc
121,unacc
758,unacc
172,unacc
278,unacc
163,unacc
855,unacc
1417,acc
165,unacc
1459,unacc
92,unacc
116,unacc
102,unacc
1689,unacc
514,unacc
4,unacc
902,acc
960,unacc
1191,unacc
21,unacc
443,unacc
1337,acc
1506,unacc
523,unacc
184,unacc
941,acc
847,unacc
893,unacc
1487,unacc
1143,unacc
263,acc
1334,acc
1213,good
1618,good
407,unacc
395,acc
271,unacc
796,unacc
24,unacc
603,unacc
38,unacc
95,unacc
1371,unacc
1677,unacc
262,unacc
964,unacc
709,unacc
1662,unacc
1305,unacc
1207,unacc
1139,unacc
325,unacc
868,unacc
579,unacc
842,unacc
113,unacc
1392,unacc
990,unacc
1440,unacc
1349,acc
577,unacc
462,unacc
501,unacc
803,acc
1522,acc
227,acc
1466,unacc
1643,good
1383,unacc
347,acc
1415,acc
71,unacc
1231,good
1404,unacc
748,unacc
1526,good
770,acc
100,unacc
1485,unacc
1639,unacc
441,unacc
1711,acc
322,acc
1327,unacc
1234,acc
381,unacc
788,unacc
370,unacc
1552,acc
289,unacc
179,unacc
1017,unacc
635,acc
1244,unacc
55,unacc
504,unacc
170,unacc
1499,vgood
1230,unacc
1407,unacc
883,unacc
411,unacc
0,unacc
771,unacc
1691,vgood
1059,unacc
1312,acc
746,acc
255,unacc
1333,unacc
1238,vgood
1559,good
1602,unacc
679,unacc
1550,good
1590,unacc
768,unacc
1039,acc
571,unacc
1142,unacc
1013,acc
1630,acc
1409,unacc
469,unacc
1219,unacc
194,unacc
717,unacc
218,unacc
1319,acc
840,unacc
1,unacc
496,unacc
153,unacc
955,unacc
1621,unacc
713,acc
1678,unacc
1100,unacc
1241,vgood
6,unacc
402,unacc
1587,unacc
979,unacc
47,unacc
1272,unacc
106,unacc
1560,unacc
662,acc
386,unacc
97,unacc
350,acc
1293,unacc
508,unacc
62,unacc
1447,acc
1330,unacc
125,unacc
778,unacc
1058,unacc
827,acc
392,acc
1114,unacc
1078,acc
180,unacc
1598,unacc
23,unacc
493,unacc
1367,acc
886,unacc
610,acc
1064,acc
608,acc
954,unacc
1328,unacc
719,acc
1556,vgood
652,unacc
647,acc
210,unacc
507,unacc
570,unacc
277,unacc
649,unacc
821,acc
259,acc
1339,acc
1209,unacc
1296,unacc
1124,vgood
1675,unacc
136,unacc
538,unacc
569,unacc
1603,acc
678,unacc
1565,vgood
1713,unacc
706,unacc
1486,unacc
1441,acc
1600,unacc
290,acc
1387,unacc
228,unacc
829,unacc
1280,good
957,unacc
50,unacc
511,unacc
1638,unacc
76,unacc
369,unacc
1066,acc
737,unacc
633,unacc
1399,acc
358,unacc
672,unacc
