age,workclass,education_num,marital_status,occupation,relationship,sex,hours_per_week,income
39,State_gov,13,Never_married,Adm_clerical,Not_in_family,Male,40,<=50K
50,Self_emp_not_inc,13,Married_civ_spouse,Exec_managerial,Husband,Male,13,<=50K
38,Private,9,Divorced,Handlers_cleaners,Not_in_family,Male,40,<=50K
53,Private,7,Married_civ_spouse,Handlers_cleaners,Husband,Male,40,<=50K
28,Private,13,Married_civ_spouse,Prof_specialty,Wife,Female,40,<=50K
37,Private,14,Married_civ_spouse,Exec_managerial,Wife,Female,40,<=50K
49,Private,5,Married_spouse_absent,Other_service,Not_in_family,Female,16,<=50K
52,Self_emp_not_inc,9,Married_civ_spouse,Exec_managerial,Husband,Male,45,>50K
31,Private,14,Never_married,Prof_specialty,Not_in_family,Female,50,>50K
42,Private,13,Married_civ_spouse,Exec_managerial,Husband,Male,40,>50K
37,Private,10,Married_civ_spouse,Exec_managerial,Husband,Male,80,>50K
30,State_gov,13,Married_civ_spouse,Prof_specialty,Husband,Male,40,>50K
23,Private,13,Never_married,Adm_clerical,Own_child,Female,30,<=50K
32,Private,12,Never_married,Sales,Not_in_family,Male,50,<=50K
40,Private,11,Married_civ_spouse,Craft_repair,Husband,Male,40,>50K
34,Private,4,Married_civ_spouse,Transport_moving,Husband,Male,45,<=50K
25,Self_emp_not_inc,9,Never_married,Farming_fishing,Own_child,Male,35,<=50K
32,Private,9,Never_married,Machine_op_inspct,Unmarried,Male,40,<=50K
38,Private,7,Married_civ_spouse,Sales,Husband,Male,50,<=50K
43,Self_emp_not_inc,14,Divorced,Exec_managerial,Unmarried,Female,45,>50K
40,Private,16,Married_civ_spouse,Prof_specialty,Husband,Male,60,>50K
54,Private,9,Separated,Other_service,Unmarried,Female,20,<=50K
35,Federal_gov,5,Married_civ_spouse,Farming_fishing,Husband,Male,40,<=50K
43,Private,7,Married_civ_spouse,Transport_moving,Husband,Male,40,<=50K
59,Private,9,Divorced,Tech_support,Unmarried,Female,40,<=50K
56,Local_gov,13,Married_civ_spouse,Tech_support,Husband,Male,40,>50K
19,Private,9,Never_married,Craft_repair,Own_child,Male,40,<=50K
39,Private,9,Divorced,Exec_managerial,Not_in_family,Male,80,<=50K
49,Private,9,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
23,Local_gov,12,Never_married,Protective_serv,Not_in_family,Male,52,<=50K
20,Private,10,Never_married,Sales,Own_child,Male,44,<=50K
45,Private,13,Divorced,Exec_managerial,Own_child,Male,40,<=50K
30,Federal_gov,10,Married_civ_spouse,Adm_clerical,Own_child,Male,40,<=50K
22,State_gov,10,Married_civ_spouse,Other_service,Husband,Male,15,<=50K
48,Private,7,Never_married,Machine_op_inspct,Unmarried,Male,40,<=50K
21,Private,10,Never_married,Machine_op_inspct,Own_child,Male,40,<=50K
19,Private,9,Married_AF_spouse,Adm_clerical,Wife,Female,25,<=50K
31,Private,10,Married_civ_spouse,Sales,Husband,Male,38,>50K
48,Self_emp_not_inc,12,Married_civ_spouse,Prof_specialty,Husband,Male,40,<=50K
31,Private,5,Married_civ_spouse,Machine_op_inspct,Husband,Male,43,<=50K
53,Self_emp_not_inc,13,Married_civ_spouse,Prof_specialty,Husband,Male,40,<=50K
24,Private,13,Married_civ_spouse,Tech_support,Husband,Male,50,<=50K
49,Private,9,Separated,Adm_clerical,Unmarried,Female,40,<=50K
25,Private,9,Never_married,Handlers_cleaners,Not_in_family,Male,35,<=50K
57,Federal_gov,13,Married_civ_spouse,Prof_specialty,Husband,Male,40,>50K
53,Private,9,Married_civ_spouse,Machine_op_inspct,Husband,Male,38,<=50K
44,Private,14,Divorced,Exec_managerial,Unmarried,Female,40,<=50K
41,State_gov,11,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
29,Private,11,Never_married,Prof_specialty,Not_in_family,Male,43,<=50K
25,Private,10,Married_civ_spouse,Exec_managerial,Wife,Female,40,<=50K
18,Private,9,Never_married,Other_service,Own_child,Female,30,<=50K
47,Private,15,Married_civ_spouse,Prof_specialty,Wife,Female,60,>50K
50,Federal_gov,13,Divorced,Exec_managerial,Not_in_family,Male,55,>50K
47,Self_emp_inc,9,Divorced,Exec_managerial,Not_in_family,Male,60,<=50K
43,Private,10,Married_civ_spouse,Tech_support,Husband,Male,40,>50K
46,Private,3,Married_civ_spouse,Machine_op_inspct,Husband,Male,40,<=50K
35,Private,11,Married_civ_spouse,Other_service,Husband,Male,40,<=50K
41,Private,9,Married_civ_spouse,Adm_clerical,Husband,Male,48,<=50K
30,Private,9,Married_civ_spouse,Machine_op_inspct,Husband,Male,40,<=50K
30,Private,13,Married_civ_spouse,Sales,Husband,Male,40,<=50K
48,Private,9,Married_civ_spouse,Transport_moving,Husband,Male,40,<=50K
42,Private,16,Married_civ_spouse,Prof_specialty,Husband,Male,45,>50K
29,Private,10,Divorced,Tech_support,Not_in_family,Male,58,<=50K
36,Private,9,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
28,Private,10,Divorced,Adm_clerical,Not_in_family,Female,40,<=50K
53,Private,9,Married_civ_spouse,Adm_clerical,Wife,Female,40,>50K
49,Self_emp_inc,10,Married_civ_spouse,Exec_managerial,Husband,Male,50,>50K
19,Private,10,Never_married,Prof_specialty,Own_child,Male,32,<=50K
31,Private,13,Separated,Sales,Own_child,Female,40,<=50K
29,Self_emp_not_inc,13,Married_civ_spouse,Sales,Husband,Male,70,>50K
23,Private,10,Never_married,Machine_op_inspct,Not_in_family,Male,40,<=50K
79,Private,10,Married_civ_spouse,Prof_specialty,Other_relative,Male,20,<=50K
27,Private,9,Never_married,Other_service,Own_child,Male,40,<=50K
40,Private,12,Married_civ_spouse,Adm_clerical,Husband,Male,40,<=50K
18,Private,7,Never_married,Other_service,Own_child,Female,22,<=50K
31,Local_gov,4,Married_civ_spouse,Farming_fishing,Husband,Male,40,<=50K
18,Private,9,Never_married,Sales,Not_in_family,Male,30,<=50K
52,Private,13,Married_civ_spouse,Other_service,Husband,Male,40,<=50K
46,Private,9,Married_civ_spouse,Other_service,Wife,Female,40,<=50K
59,Private,9,Married_civ_spouse,Sales,Husband,Male,48,<=50K
44,Private,9,Divorced,Craft_repair,Not_in_family,Female,40,>50K
53,Private,9,Divorced,Sales,Own_child,Female,35,<=50K
49,Local_gov,9,Married_civ_spouse,Protective_serv,Husband,Male,40,>50K
33,Private,14,Married_civ_spouse,Prof_specialty,Husband,Male,50,<=50K
30,Private,5,Never_married,Sales,Not_in_family,Male,40,<=50K
43,Federal_gov,16,Never_married,Prof_specialty,Not_in_family,Female,50,>50K
57,Private,11,Married_civ_spouse,Prof_specialty,Husband,Male,40,<=50K
37,Private,10,Divorced,Craft_repair,Unmarried,Female,40,<=50K
28,Private,10,Divorced,Machine_op_inspct,Unmarried,Female,25,<=50K
30,Private,9,Married_civ_spouse,Sales,Wife,Female,35,<=50K
34,Local_gov,13,Married_civ_spouse,Protective_serv,Husband,Male,40,>50K
29,Local_gov,10,Never_married,Handlers_cleaners,Not_in_family,Male,50,<=50K
48,Self_emp_not_inc,16,Married_civ_spouse,Prof_specialty,Husband,Male,60,>50K
37,Private,10,Married_civ_spouse,Sales,Husband,Male,48,>50K
48,Private,12,Divorced,Exec_managerial,Unmarried,Female,40,<=50K
32,Federal_gov,9,Never_married,Other_service,Own_child,Male,40,<=50K
76,Private,14,Married_civ_spouse,Exec_managerial,Husband,Male,40,>50K
44,Private,13,Married_civ_spouse,Exec_managerial,Husband,Male,60,>50K
47,Self_emp_not_inc,14,Never_married,Prof_specialty,Not_in_family,Female,50,<=50K
20,Private,10,Never_married,Tech_support,Own_child,Female,40,<=50K
29,Private,9,Never_married,Craft_repair,Not_in_family,Male,40,<=50K
32,Self_emp_inc,9,Married_civ_spouse,Craft_repair,Husband,Male,40,>50K
30,Private,7,Never_married,Handlers_cleaners,Own_child,Male,40,<=50K
31,Local_gov,9,Never_married,Adm_clerical,Not_in_family,Female,40,<=50K
42,Private,9,Married_civ_spouse,Handlers_cleaners,Husband,Male,40,<=50K
24,Private,13,Never_married,Sales,Other_relative,Male,40,<=50K
38,Private,15,Married_civ_spouse,Prof_specialty,Husband,Male,40,>50K
56,Self_emp_not_inc,9,Married_civ_spouse,Other_service,Husband,Male,50,>50K
28,Private,10,Married_civ_spouse,Sales,Wife,Female,25,<=50K
36,Private,9,Never_married,Machine_op_inspct,Own_child,Female,40,<=50K
53,Private,5,Married_civ_spouse,Handlers_cleaners,Husband,Male,50,<=50K
56,Self_emp_inc,10,Married_civ_spouse,Sales,Husband,Male,50,<=50K
49,Local_gov,11,Married_civ_spouse,Craft_repair,Husband,Male,40,>50K
55,Private,10,Married_civ_spouse,Sales,Husband,Male,56,<=50K
22,Private,9,Never_married,Craft_repair,Not_in_family,Male,41,<=50K
21,Private,10,Never_married,Other_service,Own_child,Female,40,<=50K
40,Private,13,Married_civ_spouse,Exec_managerial,Husband,Male,60,<=50K
30,Private,13,Never_married,Exec_managerial,Own_child,Male,40,<=50K
29,State_gov,13,Married_civ_spouse,Prof_specialty,Husband,Male,50,>50K
19,Private,10,Never_married,Other_service,Own_child,Male,35,<=50K
47,Private,13,Married_civ_spouse,Exec_managerial,Wife,Female,40,>50K
20,Private,10,Never_married,Adm_clerical,Own_child,Female,28,<=50K
31,Private,12,Married_civ_spouse,Adm_clerical,Husband,Male,40,>50K
39,Private,10,Divorced,Craft_repair,Not_in_family,Male,40,<=50K
28,Private,12,Never_married,Sales,Not_in_family,Female,60,<=50K
24,Private,9,Never_married,Other_service,Not_in_family,Female,40,<=50K
38,Self_emp_not_inc,9,Married_civ_spouse,Craft_repair,Husband,Male,35,<=50K
37,Private,13,Married_civ_spouse,Sales,Husband,Male,50,<=50K
46,Private,12,Divorced,Tech_support,Not_in_family,Female,36,<=50K
38,Federal_gov,14,Married_civ_spouse,Prof_specialty,Husband,Male,40,>50K
43,Self_emp_not_inc,9,Married_civ_spouse,Craft_repair,Husband,Male,60,<=50K
27,Private,11,Married_civ_spouse,Adm_clerical,Wife,Female,35,<=50K
20,Private,10,Never_married,Sales,Own_child,Male,20,<=50K
49,Private,10,Married_civ_spouse,Craft_repair,Husband,Male,40,>50K
61,Self_emp_inc,9,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
27,Private,10,Never_married,Sales,Own_child,Female,40,<=50K
19,Private,10,Never_married,Other_service,Own_child,Male,30,<=50K
45,Private,11,Never_married,Prof_specialty,Not_in_family,Female,40,>50K
70,Private,10,Never_married,Tech_support,Other_relative,Male,40,<=50K
31,Private,9,Never_married,Transport_moving,Unmarried,Female,30,<=50K
22,Private,10,Married_civ_spouse,Other_service,Husband,Male,24,<=50K
36,Private,9,Widowed,Other_service,Unmarried,Female,24,<=50K
64,Private,7,Married_civ_spouse,Craft_repair,Husband,Male,40,<=50K
