,income
555,<=50K
22920,>50K
2391,>50K
720,<=50K
18661,<=50K
13391,<=50K
12795,<=50K
5445,>50K
12554,<=50K
22593,<=50K
7920,<=50K
24585,>50K
15693,>50K
17942,<=50K
1837,<=50K
8172,<=50K
21184,>50K
18298,<=50K
22766,>50K
11909,<=50K
28655,<=50K
5408,<=50K
21846,<=50K
8930,>50K
28651,<=50K
3290,<=50K
30290,<=50K
27138,<=50K
7696,<=50K
14185,<=50K
6647,<=50K
18711,<=50K
6958,<=50K
27696,<=50K
5300,>50K
4883,>50K
20027,>50K
15564,<=50K
605,<=50K
2907,>50K
1506,<=50K
22206,>50K
9059,<=50K
10387,>50K
9218,<=50K
6154,<=50K
30576,<=50K
20716,>50K
22943,<=50K
16071,<=50K
8357,>50K
16502,<=50K
26512,<=50K
12702,<=50K
3673,>50K
8210,>50K
7361,<=50K
28791,<=50K
26556,>50K
22616,<=50K
15630,<=50K
13286,<=50K
15296,<=50K
20458,<=50K
22394,>50K
26716,<=50K
28342,<=50K
2039,<=50K
25945,<=50K
18333,<=50K
30138,>50K
12120,<=50K
29808,<=50K
12198,<=50K
9034,<=50K
12204,>50K
5223,<=50K
19932,<=50K
30329,<=50K
24174,<=50K
29492,>50K
14692,<=50K
5338,>50K
5735,<=50K
9427,<=50K
21414,<=50K
15698,<=50K
24287,>50K
29075,<=50K
8061,<=50K
4105,<=50K
20673,<=50K
9119,<=50K
26921,<=50K
3728,<=50K
9823,<=50K
1690,<=50K
16378,<=50K
27601,<=50K
8119,<=50K
24755,>50K
5815,<=50K
16239,<=50K
29920,<=50K
4108,<=50K
12091,>50K
28875,<=50K
13464,<=50K
8161,>50K
15778,>50K
11132,<=50K
23813,<=50K
772,>50K
2417,<=50K
13479,<=50K
1843,<=50K
25523,>50K
4399,<=50K
20312,>50K
23549,<=50K
27705,<=50K
26982,<=50K
984,>50K
3256,>50K
10653,<=50K
13956,<=50K
27620,<=50K
4835,<=50K
30084,<=50K
6009,<=50K
8763,<=50K
28291,<=50K
23369,<=50K
30685,<=50K
9882,<=50K
16033,<=50K
29086,<=50K
4753,<=50K
19749,<=50K
21890,>50K
8028,<=50K
24342,<=50K
3224,>50K
30702,>50K
21591,<=50K
1594,<=50K
12807,<=50K
2865,<=50K
24138,>50K
14879,<=50K
25999,<=50K
20416,<=50K
2239,<=50K
7584,>50K
6730,<=50K
14838,<=50K
5778,<=50K
3636,>50K
17872,>50K
11041,<=50K
26339,<=50K
13081,<=50K
9131,<=50K
24660,>50K
27535,>50K
285,<=50K
21511,<=50K
1127,>50K
30319,<=50K
9849,>50K
18831,<=50K
26987,<=50K
6887,<=50K
24898,<=50K
20212,<=50K
18949,<=50K
23456,<=50K
123,<=50K
11136,>50K
12965,<=50K
19964,<=50K
28912,<=50K
1305,<=50K
26869,>50K
24460,<=50K
27106,>50K
5428,<=50K
16653,<=50K
17308,<=50K
21973,>50K
4297,>50K
21164,>50K
5094,<=50K
13705,<=50K
24402,>50K
3524,<=50K
4751,<=50K
14863,>50K
23598,<=50K
9191,<=50K
18441,<=50K
20607,<=50K
16144,<=50K
7809,<=50K
11610,<=50K
15264,<=50K
30018,<=50K
5828,>50K
16597,<=50K
6675,<=50K
24883,<=50K
8519,<=50K
18759,<=50K
28681,<=50K
13039,<=50K
25288,<=50K
22868,>50K
20391,<=50K
11964,<=50K
25708,<=50K
6323,>50K
14942,<=50K
13388,<=50K
3801,<=50K
24770,<=50K
27467,>50K
26156,<=50K
5354,<=50K
13848,<=50K
10020,<=50K
25371,<=50K
13873,<=50K
1643,<=50K
27650,>50K
21358,>50K
