CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT
0.55007,20.0,3.97,0,0.647,7.206,91.6,1.9301,5,264,13.0,8.1
0.55778,0.0,21.89,0,0.624,6.335,98.2,2.1107,4,437,21.2,16.96
0.1029,30.0,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,11.22
0.01432,100.0,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,3.95
0.2498,0.0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,21.32
5.09017,0.0,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,17.27
0.19539,0.0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,7.54
1.35472,0.0,8.14,0,0.538,6.072,100.0,4.175,4,307,21.0,13.04
0.03932,0.0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,8.2
14.2362,0.0,18.1,0,0.693,6.343,100.0,1.5741,24,666,20.2,20.32
0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,7.6
9.39063,0.0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,22.88
0.11132,0.0,27.74,0,0.609,5.983,83.5,2.1099,4,711,20.1,13.35
0.29916,20.0,6.96,0,0.464,5.856,42.1,4.429,3,223,18.6,13.0
4.89822,0.0,18.1,0,0.631,4.97,100.0,1.3325,24,666,20.2,3.26
0.15098,0.0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,10.3
0.32264,0.0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,16.9
0.14866,0.0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,9.42
0.09299,0.0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,17.93
0.47547,0.0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,12.73
0.06162,0.0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,12.67
0.63796,0.0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21.0,10.26
4.54192,0.0,18.1,0,0.77,6.398,88.0,2.5182,24,666,20.2,7.79
0.52058,0.0,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,9.54
0.11027,25.0,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,6.73
0.34109,0.0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,6.12
0.34006,0.0,21.89,0,0.624,6.458,98.9,2.1185,4,437,21.2,12.6
2.44953,0.0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,11.32
2.77974,0.0,19.58,0,0.871,4.903,97.8,1.3459,5,403,14.7,29.29
0.11069,0.0,13.89,1,0.55,5.951,93.8,2.8893,5,276,16.4,17.92
0.07875,45.0,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,6.68
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,12.43
0.1676,0.0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,7.2
0.21038,20.0,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,4.85
0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,2.94
0.76162,20.0,3.97,0,0.647,5.56,62.8,1.9865,5,264,13.0,10.45
25.0461,0.0,18.1,0,0.693,5.987,100.0,1.5888,24,666,20.2,26.77
0.06617,0.0,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,9.97
0.04527,0.0,11.93,0,0.573,6.12,76.7,2.2875,1,273,21.0,9.08
0.32543,0.0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,15.39
0.10469,40.0,6.41,1,0.447,7.267,49.0,4.7872,4,254,17.6,6.05
3.1636,0.0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,14.13
0.7258,0.0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21.0,11.28
0.53412,20.0,3.97,0,0.647,7.52,89.4,2.1398,5,264,13.0,7.26
0.19073,22.0,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,6.56
1.80028,0.0,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,12.14
15.1772,0.0,18.1,0,0.74,6.152,100.0,1.9142,24,666,20.2,26.45
0.52014,20.0,3.97,0,0.647,8.398,91.5,2.2885,5,264,13.0,5.91
9.32909,0.0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,18.13
0.02177,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,3.11
0.03871,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293,16.6,7.14
0.0837,45.0,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,5.39
0.17505,0.0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,10.13
0.17134,0.0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,15.76
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,9.14
0.20608,22.0,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,12.5
0.10574,0.0,27.74,0,0.609,5.983,98.8,1.8681,4,711,20.1,18.07
9.96654,0.0,18.1,0,0.74,6.485,100.0,1.9784,24,666,20.2,18.85
7.05042,0.0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,23.29
4.83567,0.0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,11.45
0.04203,28.0,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,8.16
0.22438,0.0,9.69,0,0.585,6.027,79.7,2.4982,6,391,19.2,14.33
0.30347,0.0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,6.15
7.02259,0.0,18.1,0,0.718,6.006,95.3,1.8746,24,666,20.2,15.7
10.0623,0.0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,19.69
4.55587,0.0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12
0.62739,0.0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21.0,8.47
