Age,Edu,Years Employed,Income,Card Debt,Other Debt,Defaulted,DebtIncomeRatio
41,2,6,19,0.124,1.073,0.0,6.3
47,1,26,100,4.582,8.218,0.0,12.8
33,2,10,57,6.111,5.802,1.0,20.9
29,2,4,19,0.681,0.516,0.0,6.3
47,1,31,253,9.308,8.908,0.0,7.2
40,1,23,81,0.998,7.831,0.0,10.9
38,2,4,56,0.442,0.454,0.0,1.6
42,3,0,64,0.279,3.945,0.0,6.6
26,1,5,18,0.575,2.215,0.0,15.5
47,3,23,115,0.653,3.947,0.0,4.0
44,3,8,88,0.285,5.083,1.0,6.1
34,2,9,40,0.374,0.266,0.0,1.6
24,1,7,18,0.526,0.643,0.0,6.5
46,1,6,30,1.415,3.865,0.0,17.6
28,3,2,20,0.233,1.647,1.0,9.4
24,1,1,16,0.185,1.287,0.0,9.2
29,1,1,17,0.132,0.293,0.0,2.5
43,4,1,26,1.519,1.237,0.0,10.6
44,1,18,61,2.806,3.782,0.0,10.8
36,1,16,32,0.544,2.944,0.0,10.9
29,2,6,25,0.585,0.465,0.0,4.2
36,3,10,43,0.961,4.629,0.0,13.0
28,3,6,47,5.574,3.732,1.0,19.8
45,1,19,77,2.303,4.165,0.0,8.4
37,4,10,123,3.022,18.257,0.0,17.3
43,1,9,66,2.341,3.467,0.0,8.8
24,1,4,21,0.099,0.447,0.0,2.6
37,1,19,38,2.591,2.539,0.0,13.5
38,2,13,59,0.408,1.008,0.0,2.4
34,2,9,45,1.118,3.427,0.0,10.1
40,3,18,100,1.485,1.015,0.0,2.5
42,2,12,55,2.533,5.717,0.0,15.0
23,2,0,42,1.019,0.619,1.0,3.9
40,3,5,28,1.263,1.537,0.0,10.0
28,1,12,45,1.854,1.611,0.0,7.7
33,2,5,37,1.029,2.079,0.0,8.4
35,3,5,37,0.581,1.417,1.0,5.4
37,1,0,18,1.584,0.738,1.0,12.9
22,1,1,18,0.27,0.522,0.0,4.4
39,3,16,126,1.405,7.163,0.0,6.8
20,1,4,14,0.201,1.157,1.0,9.7
48,3,17,113,3.376,10.184,0.0,12.0
28,2,5,34,3.099,4.993,0.0,23.8
37,5,9,177,0.888,9.555,0.0,5.9
48,1,3,27,1.403,4.348,0.0,21.3
45,3,9,84,1.276,9.728,0.0,13.1
22,1,4,14,0.225,2.225,0.0,17.5
30,1,4,21,0.229,0.506,0.0,3.5
28,1,3,19,0.261,0.518,0.0,4.1
29,2,10,61,0.798,2.984,0.0,6.2
47,1,22,81,1.506,2.949,0.0,5.5
36,1,11,33,1.266,9.459,0.0,32.5
24,1,3,19,1.358,3.278,1.0,24.4
56,1,19,66,0.847,1.331,0.0,3.3
29,3,5,70,3.176,10.754,1.0,19.9
34,1,2,25,0.573,2.577,1.0,12.6
32,1,1,20,0.315,0.645,1.0,4.8
27,3,2,26,0.722,0.838,0.0,6.0
40,1,9,64,0.79,3.434,0.0,6.6
50,1,11,36,0.835,0.893,0.0,4.8
39,1,17,60,2.45,5.77,0.0,13.7
34,1,18,34,2.1,3.136,0.0,15.4
36,1,18,67,5.245,2.259,0.0,11.2
44,2,18,74,4.522,5.394,0.0,13.4
24,2,4,20,0.324,0.416,0.0,3.7
31,1,8,44,1.721,1.799,0.0,8.0
34,1,16,79,1.735,1.425,0.0,4.0
26,1,4,27,2.472,0.363,1.0,10.5
38,1,3,23,0.832,2.549,0.0,14.7
24,1,3,14,0.838,1.416,1.0,16.1
30,3,8,61,0.55,1.158,0.0,2.8
40,4,5,75,0.885,0.54,0.0,1.9
30,2,12,98,2.935,4.121,0.0,7.2
25,2,5,42,3.366,3.144,0.0,15.5
29,1,9,33,0.694,0.89,0.0,4.8
33,1,5,18,0.985,1.337,0.0,12.9
43,1,8,45,0.677,0.808,0.0,3.3
35,2,1,21,0.37,1.289,0.0,7.9
41,2,21,145,3.237,14.453,0.0,12.2
46,2,18,55,0.419,2.001,0.0,4.4
33,1,12,68,1.366,5.978,0.0,10.8
30,3,0,65,3.9,15.405,1.0,29.7
40,3,18,157,3.326,7.036,0.0,6.6
38,1,1,42,0.891,2.931,0.0,9.1
49,2,11,51,0.543,7.107,0.0,15.0
26,1,0,15,0.386,0.424,0.0,5.4
22,4,0,25,1.491,1.559,0.0,12.2
29,2,2,16,0.433,1.247,0.0,10.5
28,2,8,31,1.492,1.05,1.0,8.2
23,4,0,32,0.818,5.07,1.0,18.4
37,2,11,75,0.633,1.992,0.0,3.5
35,2,5,33,0.103,0.821,0.0,2.8
31,1,1,21,0.277,0.248,1.0,2.5
29,1,1,20,0.569,3.151,1.0,18.6
34,3,7,27,0.125,0.469,0.0,2.2
47,2,7,49,0.254,0.187,0.0,0.9
37,1,5,27,0.419,2.119,0.0,9.4
38,1,10,34,0.036,0.372,0.0,1.2
32,2,5,28,2.594,1.55,1.0,14.8
22,3,0,20,0.219,0.721,0.0,4.7
30,1,7,33,1.165,7.217,1.0,25.4
38,4,13,126,7.613,9.649,0.0,13.7
36,1,20,60,1.056,2.184,0.0,5.4
44,1,5,48,1.97,2.35,1.0,9.0
27,2,4,22,1.086,1.818,1.0,13.2
47,1,19,50,3.176,11.874,0.0,30.1
41,1,7,32,0.072,0.856,0.0,2.9
25,1,8,27,1.019,2.869,0.0,14.4
33,2,10,54,0.12,1.5,0.0,3.0
42,3,13,82,1.315,1.391,0.0,3.3
36,1,14,53,1.888,1.133,0.0,5.7
25,4,0,32,2.14,3.492,0.0,17.6
30,1,10,39,2.056,1.649,0.0,9.5
24,1,0,16,1.009,1.551,1.0,16.0
32,1,7,23,0.861,1.393,0.0,9.8
39,2,9,32,1.43,0.682,0.0,6.6
30,1,4,18,0.227,1.699,0.0,10.7
33,1,16,46,2.4,1.326,0.0,8.1
32,2,12,63,5.55,5.916,0.0,18.2
33,1,7,26,0.543,1.017,0.0,6.0
29,2,6,21,0.369,2.046,0.0,11.5
28,2,5,37,1.124,1.947,0.0,8.3
33,4,9,32,0.496,1.264,0.0,5.5
39,2,16,53,0.694,1.267,0.0,3.7
32,1,10,42,1.54,2.282,0.0,9.1
46,1,9,72,0.828,2.772,0.0,5.0
32,2,3,47,0.429,0.464,0.0,1.9
28,2,5,25,0.339,0.386,0.0,2.9
26,1,2,21,1.023,3.135,0.0,19.8
27,1,0,16,0.183,0.089,0.0,1.7
35,1,16,36,0.179,1.045,0.0,3.4
35,1,16,57,1.143,4.842,0.0,10.5
31,2,6,25,2.332,0.543,0.0,11.5
32,3,5,23,0.326,0.709,0.0,4.5
29,1,9,25,1.07,2.405,0.0,13.9
35,4,4,29,1.844,1.346,0.0,11.0
48,2,21,86,0.146,0.886,0.0,1.2
24,1,4,19,1.185,0.905,0.0,11.0
44,1,12,31,0.358,2.649,0.0,9.7
40,2,5,35,1.584,4.156,1.0,16.4
36,2,13,41,2.918,3.806,1.0,16.4
23,2,0,21,0.455,1.372,0.0,8.7
26,2,8,40,0.444,4.276,0.0,11.8
30,1,8,23,0.762,1.998,0.0,12.0
34,1,12,68,7.817,9.251,1.0,25.1
28,3,2,30,1.522,4.448,0.0,19.9
37,1,18,58,2.868,3.106,0.0,10.3
46,3,3,43,3.042,2.634,1.0,13.2
24,2,1,42,0.838,1.556,0.0,5.7
25,2,6,26,0.07,1.1,0.0,4.5
33,1,14,37,0.199,0.763,0.0,2.6
46,1,7,41,0.585,9.009,0.0,23.4
38,3,4,31,1.332,1.551,1.0,9.3
47,1,3,21,0.068,3.166,0.0,15.4
34,2,9,65,2.108,1.922,0.0,6.2
35,1,16,37,4.213,2.151,0.0,17.2
39,1,22,113,0.987,1.951,0.0,2.6
44,1,24,101,2.992,2.664,0.0,5.6
28,2,1,24,1.338,2.766,1.0,17.1
31,3,9,59,3.11,5.504,1.0,14.6
24,1,1,20,0.325,0.495,0.0,4.1
36,3,13,39,2.801,4.687,0.0,19.2
35,2,14,82,0.468,0.188,0.0,0.8
31,1,11,47,2.864,2.259,0.0,10.9
28,2,6,22,0.65,1.88,0.0,11.5
36,4,8,32,0.025,0.487,0.0,1.6
31,3,6,54,0.402,1.11,0.0,2.8
30,1,11,27,0.074,0.169,0.0,0.9
26,1,10,24,0.311,0.337,0.0,2.7
48,4,3,45,0.975,3.435,0.0,9.8
39,2,16,89,5.002,7.725,0.0,14.3
31,1,7,20,0.111,2.349,0.0,12.3
31,3,9,28,0.122,0.606,0.0,2.6
27,3,3,45,0.292,4.658,1.0,11.0
31,1,13,27,0.238,1.112,0.0,5.0
53,1,0,27,2.754,5.049,1.0,28.9
40,1,15,55,0.856,2.169,0.0,5.5
26,1,7,22,0.209,0.913,0.0,5.1
29,2,5,36,3.491,0.973,1.0,12.4
52,1,19,89,0.397,3.786,0.0,4.7
39,2,2,46,4.004,3.356,1.0,16.0
33,2,13,40,0.181,2.699,0.0,7.2
24,1,7,21,0.52,0.803,0.0,6.3
47,1,29,129,20.561,12.076,1.0,25.3
41,3,2,15,1.961,1.984,1.0,26.3
26,2,6,45,6.049,5.651,0.0,26.0
48,1,3,24,0.764,0.916,0.0,7.0
37,1,13,24,0.602,1.534,0.0,8.9
37,1,20,41,0.899,4.39,0.0,12.9
46,4,7,73,0.556,0.247,0.0,1.1
30,1,8,27,3.744,1.737,0.0,20.3
47,1,15,30,2.212,5.138,0.0,24.5
37,3,16,75,0.022,0.053,0.0,0.1
37,2,0,31,0.118,0.161,1.0,0.9
40,2,15,73,1.033,1.449,0.0,3.4
35,3,5,30,1.526,1.654,0.0,10.6
21,2,0,16,0.15,0.938,0.0,6.8
52,1,24,64,3.93,2.47,0.0,10.0
47,3,16,221,15.792,23.104,1.0,17.6
41,3,0,26,0.099,0.343,0.0,1.7
47,1,27,113,2.381,8.015,0.0,9.2
38,2,0,21,0.612,0.354,0.0,4.6
22,3,1,25,1.977,1.473,1.0,13.8
39,1,8,21,0.276,0.564,0.0,4.0
45,1,8,27,0.416,0.286,0.0,2.6
51,1,10,44,4.96,0.848,1.0,13.2
33,2,10,26,0.031,0.775,0.0,3.1
43,1,25,242,1.636,4.656,0.0,2.6
40,1,22,95,0.633,2.787,0.0,3.6
27,4,2,23,0.32,0.991,1.0,5.7
31,1,11,25,0.141,2.134,0.0,9.1
34,1,10,48,0.264,2.184,0.0,5.1
37,1,9,57,1.357,1.778,0.0,5.5
44,4,18,78,0.565,0.215,0.0,1.0
42,1,3,24,0.667,1.877,0.0,10.6
25,1,3,16,1.011,1.837,1.0,17.8
39,2,7,68,1.017,7.823,1.0,13.0
26,4,1,64,7.754,7.158,0.0,23.3
36,1,19,45,0.92,4.525,0.0,12.1
48,1,15,60,0.321,0.939,0.0,2.1
21,2,0,21,0.488,2.137,1.0,12.5
40,3,17,116,2.561,4.399,0.0,6.0
31,2,9,30,0.602,1.138,0.0,5.8
23,4,0,23,0.468,1.073,0.0,6.7
31,1,6,21,0.729,1.014,0.0,8.3
31,1,7,23,0.225,0.902,0.0,4.9
50,3,18,102,5.782,8.6,0.0,14.1
29,1,1,31,0.156,2.324,0.0,8.0
37,3,5,29,1.405,5.729,0.0,24.6
46,1,16,52,3.032,3.676,1.0,12.9
39,1,9,35,0.233,1.517,0.0,5.0
34,1,14,28,1.138,3.622,0.0,17.0
27,1,11,56,4.637,4.827,0.0,16.9
23,1,6,15,1.375,0.53,0.0,12.7
41,1,24,83,6.589,5.031,0.0,14.0
29,1,1,18,0.03,0.168,0.0,1.1
44,1,19,40,0.344,4.016,0.0,10.9
24,2,0,15,0.321,2.094,1.0,16.1
32,3,9,51,2.686,9.044,0.0,23.0
23,2,3,34,0.262,1.234,0.0,4.4
31,1,4,28,0.291,2.873,0.0,11.3
36,1,15,39,0.686,0.562,0.0,3.2
25,1,3,31,0.881,1.63,0.0,8.1
26,1,10,32,0.126,1.378,0.0,4.7
43,1,4,26,0.751,1.095,0.0,7.1
47,1,29,169,0.349,3.369,0.0,2.2
43,1,10,69,0.411,4.005,0.0,6.4
37,1,18,54,4.593,1.941,0.0,12.1
35,4,10,45,1.04,2.785,0.0,8.5
28,4,1,26,0.377,2.847,0.0,12.4
28,1,8,30,0.613,1.547,0.0,7.2
26,3,2,37,0.205,5.049,0.0,14.2
39,1,10,31,0.185,1.303,0.0,4.8
34,2,3,21,1.402,3.449,0.0,23.1
51,3,16,82,2.605,1.003,0.0,4.4
28,2,3,41,5.897,4.394,1.0,25.1
39,1,20,39,0.774,2.424,0.0,8.2
23,1,3,19,0.279,1.317,1.0,8.4
23,1,3,13,0.046,0.357,0.0,3.1
21,1,4,26,1.421,0.893,0.0,8.9
40,1,3,23,0.409,1.178,0.0,6.9
26,4,1,92,6.506,5.454,0.0,13.0
32,2,12,54,3.196,4.58,0.0,14.4
29,3,3,50,0.259,0.941,1.0,2.4
43,1,25,64,0.951,9.737,0.0,16.7
55,1,3,40,0.563,2.637,1.0,8.0
30,1,12,40,1.249,1.551,0.0,7.0
38,3,15,63,5.091,3.351,0.0,13.4
