date,min_temperature_c,max_temperature_c,rainfall_mm,evaporation_mm,sunshine_hours,max_wind_speed_kmh,max_pressure_hpa,rain_today,rain_tomorrow
2019-05-01,17.9,22.5,0,5.4,1.9,35,1022.6,NO,NO
2019-05-02,19.5,24.1,0,3.4,1.7,33,1025.8,NO,NO
2019-05-03,19.2,24.1,0,3.4,0.7,31,1019.1,NO,YES
2019-05-04,17.3,23.1,10.8,2.4,5.8,39,1015.9,YES,NO
2019-05-05,12,19.1,0,4.8,5.5,76,1017.6,NO,YES
2019-05-06,12.5,21.4,3.8,3.6,9.5,41,1018.9,YES,NO
2019-05-07,9.8,23.4,0,4,10.2,28,1016,NO,NO
2019-05-08,13,21.3,0,4,9.6,52,1012.6,NO,NO
2019-05-09,9.5,20.9,0,5,9.6,35,1019.5,NO,NO
2019-05-10,13.1,20.4,0,5.6,4.1,46,1014.2,NO,NO
2019-05-11,10.7,21.4,0,3.4,8,59,1018.1,NO,NO
2019-05-12,10.4,23,0,5.8,10,37,1027.5,NO,NO
2019-05-13,10.4,23,0,1.8,7.5,31,1030.5,NO,NO
2019-05-14,13.1,24.1,0,4,9.7,33,1027.6,NO,NO
2019-05-15,11.8,22.9,0,4,7.2,26,1030.9,NO,NO
2019-05-16,12.6,22.4,0,2.4,9.6,28,1029.7,NO,NO
2019-05-17,12.2,23.4,0,3.4,9.7,24,1028.6,NO,NO
2019-05-18,12.7,24.1,0,2.4,9.6,26,1030.9,NO,NO
2019-05-19,14,22.7,0,3,8.1,24,1031.7,NO,NO
2019-05-20,13.8,22.6,0,3,4.5,20,1028.1,NO,NO
2019-05-21,13,27.2,0,2,7.9,31,1025.8,NO,NO
2019-05-22,14.6,25.3,0,4,9.3,24,1028.1,NO,NO
2019-05-23,14.6,24.7,0,3.6,6.6,24,1028.6,NO,NO
2019-05-24,13.7,25,0,1.2,7,26,1024.1,NO,NO
2019-05-25,12.5,27.1,0,4,9.2,26,1020.1,NO,NO
2019-05-26,15,23.7,0,5.2,6.3,35,1016,NO,NO
2019-05-27,11.3,19.3,0,4.8,7.4,72,1008.9,NO,NO
2019-05-28,8.8,19.3,0,5.8,9.6,56,1013.9,NO,NO
2019-05-29,11.7,19.4,0,7.2,9.5,65,1005.7,NO,NO
2019-05-30,8.7,17.4,0,5.6,9.6,54,1017,NO,NO
2019-05-31,7.8,21,0,5.6,9.5,43,1022.6,NO,NO
2019-06-01,10,20.4,0,3.4,5.9,44,1028.1,NO,NO
2019-06-02,10.7,20.8,0,1.6,4.6,30,1027.1,NO,NO
2019-06-03,12.5,17.6,0,1.2,3.4,48,1015.2,NO,YES
2019-06-04,7.5,14.1,18.2,3.6,1.1,74,1015.2,YES,yes
2019-06-05,9.3,15.2,11.6,1,2.3,52,1026.2,YES,yes
2019-06-06,7.5,19.6,12.8,1.1,9.5,33,1030,YES,YES
2019-06-07,9.5,14.9,0.2,3.6,0,30,1035.8,YES,YES
2019-06-08,11.2,14.8,4.2,0,0,24,1032.2,YES,NO
2019-06-09,11.1,22.2,0,0.4,8.6,,1024.8,NO,NO
2019-06-10,11.9,22,0,3.4,7.8,,1020.6,NO,NO
2019-06-11,12.1,23.3,0,2.8,9.6,,1023.5,NO,NO
