passenger_id,survived,male,female,age,number_sibling_spouse,number_parent_children,fare,embarked_southampton,embarked_cherbourg,embarked_queenstown,ticket_class
1,0,1,0,22,1,0,7.25,1,0,0,3
2,1,0,1,35,1,0,65,0,1,0,1
3,1,0,1,26,0,0,7.925,1,0,0,3
4,1,0,1,35,1,0,53.1,1,0,0,1
5,0,1,0,35,0,0,8.05,1,0,0,3
6,0,1,0,22,0,0,8.4583,0,0,1,3
7,0,1,0,54,0,0,51.8625,1,0,0,1
8,0,1,0,2,2.5,1,21.075,1,0,0,3
9,1,0,1,26,0,1,11.1333,1,0,0,3
10,1,0,1,14,1,0,30.0708,0,1,0,2
11,1,0,1,4,1,1,16.7,1,0,0,3
12,1,0,1,61,0,0,26.55,1,0,0,1
13,0,1,0,19,0,0,8.05,1,0,0,3
14,0,1,0,39,1,1,31.275,1,0,0,3
15,0,0,1,14,0,0,7.8542,1,0,0,3
16,1,0,1,56,0,0,16,1,0,0,2
17,0,1,0,2,2.5,1,29.125,0,0,1,3
18,1,1,0,23,0,0,13,1,0,0,2
19,0,0,1,31,1,0,18,1,0,0,3
20,1,0,1,22,0,0,7.225,0,1,0,3
21,0,1,0,35,0,0,26,1,0,0,2
22,1,1,0,34,0,0,13,1,0,0,2
23,1,0,1,16,0,0,8.0292,0,0,1,3
24,1,1,0,28,0,0,35.5,1,0,0,1
25,0,0,1,8,2.5,1,21.075,1,0,0,3
26,1,0,1,38,1,1,31.3875,1,0,0,3
27,0,1,0,25,0,0,7.225,0,1,0,3
28,0,1,0,19,2.5,1,65,1,0,0,1
29,1,0,1,25,0,0,7.8792,0,0,1,3
30,0,1,0,23,0,0,7.8958,1,0,0,3
31,0,1,0,40,0,0,27.7208,0,1,0,1
32,1,0,1,45,1,0,65,0,1,0,1
33,1,0,1,19,0,0,7.75,0,0,1,3
34,0,1,0,66,0,0,10.5,1,0,0,2
35,0,1,0,28,1,0,65,0,1,0,1
36,0,1,0,42,1,0,52,1,0,0,1
37,1,1,0,20,0,0,7.2292,0,1,0,3
38,0,1,0,21,0,0,8.05,1,0,0,3
39,0,0,1,18,2,0,18,1,0,0,3
